id; question_id;user_id;answer_id;created_at;updated_at;score
9;9;3;33;"2019-08-20 09:32:22";"2019-08-20 09:32:25.957733";0.0
10;1;7;1;"2019-08-21 09:19:40";"2019-08-21 09:19:47.410122";1.0
11;3;7;9;"2019-08-21 09:19:49";"2019-08-21 09:19:56.712159";0.0
12;3;7;12;"2019-08-21 09:19:59";"2019-08-21 09:20:01.711749";1.0
13;5;7;18;"2019-08-21 09:20:15";"2019-08-21 09:20:21.83915";1.0
14;2;7;7;"2019-08-21 09:20:23";"2019-08-21 09:20:36.313448";0.0
15;2;7;8;"2019-08-21 09:20:45";"2019-08-21 09:20:49.224035";1.0
16;4;7;14;"2019-08-21 09:20:51";"2019-08-21 09:21:15.426247";1.0
17;6;7;22;"2019-08-21 09:21:17";"2019-08-21 09:21:26.762478";1.0
18;47;3;223;"2019-08-23 09:25:30";"2019-08-23 09:25:35.406078";0.0
19;47;3;224;"2019-08-23 09:25:37";"2019-08-23 09:25:41.641302";0.0
20;47;3;227;"2019-08-23 09:25:44";"2019-08-23 09:25:51.630126";1.0
21;47;3;224;"2019-08-23 10:09:53";"2019-08-23 10:10:19.33315";0.0
22;47;18;226;"2019-08-23 10:11:08";"2019-08-23 10:11:59.536638";0.0
23;47;13;224;"2019-08-23 10:11:08";"2019-08-23 10:12:03.235586";0.0
24;47;23;226;"2019-08-23 10:11:25";"2019-08-23 10:12:23.243846";0.0
25;47;21;226;"2019-08-23 10:11:08";"2019-08-23 10:12:30.293923";0.0
26;47;14;226;"2019-08-23 10:11:11";"2019-08-23 10:12:43.635544";0.0
27;41;12;194;"2019-08-23 10:11:14";"2019-08-23 10:13:17.526167";0.0
28;41;13;195;"2019-08-23 10:12:05";"2019-08-23 10:13:18.765563";0.0
29;47;8;226;"2019-08-23 10:11:11";"2019-08-23 10:13:20.397329";0.0
30;47;22;227;"2019-08-23 10:11:08";"2019-08-23 10:13:21.993284";1.0
31;47;9;226;"2019-08-23 10:11:12";"2019-08-23 10:13:27.456865";0.0
32;47;15;227;"2019-08-23 10:11:11";"2019-08-23 10:14:13.245766";1.0
33;47;19;224;"2019-08-23 10:11:11";"2019-08-23 10:14:13.392056";0.0
34;41;23;194;"2019-08-23 10:12:39";"2019-08-23 10:14:20.992795";0.0
35;41;8;197;"2019-08-23 10:13:23";"2019-08-23 10:14:30.700072";0.0
36;41;22;195;"2019-08-23 10:13:24";"2019-08-23 10:14:46.616881";0.0
37;47;17;225;"2019-08-23 10:11:12";"2019-08-23 10:14:57.835963";0.0
38;42;13;202;"2019-08-23 10:13:22";"2019-08-23 10:15:03.961091";0.0
39;47;20;227;"2019-08-23 10:11:20";"2019-08-23 10:15:12.534783";1.0
40;41;18;196;"2019-08-23 10:12:02";"2019-08-23 10:15:36.291347";1.0
41;41;21;197;"2019-08-23 10:12:32";"2019-08-23 10:15:47.094414";0.0
42;47;16;227;"2019-08-23 10:11:10";"2019-08-23 10:15:48.76966";1.0
43;41;9;196;"2019-08-23 10:13:31";"2019-08-23 10:15:54.426928";1.0
44;42;22;201;"2019-08-23 10:14:50";"2019-08-23 10:15:54.440964";1.0
45;41;15;196;"2019-08-23 10:14:16";"2019-08-23 10:16:10.826215";1.0
46;43;22;203;"2019-08-23 10:15:57";"2019-08-23 10:16:30.346501";1.0
47;41;19;193;"2019-08-23 10:14:18";"2019-08-23 10:16:38.598531";0.0
48;42;8;200;"2019-08-23 10:14:33";"2019-08-23 10:16:40.651012";0.0
49;43;13;203;"2019-08-23 10:15:12";"2019-08-23 10:16:42.707928";1.0
50;42;12;200;"2019-08-23 10:13:21";"2019-08-23 10:16:59.573384";0.0
