id;question_id;micro_credential_id
2;6;2
4;2;1
5;1;1
6;3;1
7;5;1
8;4;1
9;89;2
10;90;2
11;91;2
12;92;2
13;93;2
14;94;2
15;95;2
16;96;2
17;97;2
18;98;2
19;99;2
20;99;3
21;99;10
22;100;2
23;101;2
24;101;8
25;102;2
26;102;3
27;102;10
28;103;2
29;104;2
30;105;2
31;106;2
32;107;10
33;107;11
34;108;2
35;109;2
36;106;3
37;110;3
38;110;7
39;111;3
40;111;9
41;112;2
42;112;3
43;113;3
44;113;4
45;114;2
46;114;4
47;115;2
48;115;3
49;115;4
50;114;3
51;116;2
52;116;4
53;117;2
54;117;4
55;118;4
56;119;4
57;120;4
58;121;4
59;122;4
60;123;5
61;123;6
62;123;10
63;124;5
64;125;5
65;125;11
66;126;2
67;126;5
68;127;2
69;127;5
70;128;5
71;129;1
72;129;5
73;130;5
74;131;5
75;132;5
76;132;6
77;133;5
78;133;6
79;134;5
80;134;6
81;135;5
82;135;6
83;136;5
84;136;6
85;137;5
86;137;6
87;137;10
88;138;5
89;138;10
90;139;5
91;140;5
92;141;5
93;142;5
94;142;11
95;143;5
96;143;9
97;144;5
98;144;9
99;145;5
100;145;9
101;146;5
102;146;9
103;147;5
104;147;9
105;147;11
106;148;5
107;149;5
108;149;7
109;150;5
110;150;6
111;151;5
112;151;6
113;152;5
114;153;5
115;153;4
116;154;5
117;154;6
118;155;6
119;156;6
120;157;6
121;158;6
122;159;6
123;160;6
124;161;6
125;162;6
126;163;6
127;164;2
128;164;3
129;164;6
130;165;6
131;166;2
132;166;6
133;167;6
134;168;6
135;169;6
136;169;10
137;170;6
138;170;10
139;171;6
140;171;10
141;172;6
142;173;6
143;173;11
144;174;6
145;175;6
146;176;6
147;176;10
148;177;6
149;178;6
150;179;6
151;180;6
152;181;6
153;181;7
154;181;10
155;188;7
156;189;7
157;189;10
158;190;7
159;191;7
160;192;7
161;193;6
162;193;7
163;194;7
164;195;7
165;195;10
166;196;7
167;196;10
168;197;7
169;197;10
170;198;7
171;198;10
172;199;6
173;199;7
174;199;10
175;200;5
176;200;7
177;201;7
178;202;7
179;202;10
180;203;2
181;203;7
182;204;7
183;204;10
184;205;7
185;206;7
186;206;10
187;207;7
188;207;10
189;208;7
190;208;10
191;209;7
192;209;10
193;210;7
194;211;7
195;212;7
196;212;10
197;212;5
198;211;5
199;210;5
200;208;5
201;213;5
202;213;7
203;214;7
204;217;5
205;218;5
206;272;8
207;273;8
208;274;8
209;275;8
210;276;8
211;277;8
212;277;9
213;278;8
214;279;7
215;279;8
216;280;8
217;280;10
218;281;8
219;282;8
220;283;8
221;283;10
222;284;7
223;284;8
224;284;10
225;285;9
226;286;9
227;287;9
228;288;9
229;289;9
230;290;9
231;291;9
232;291;11
233;292;9
234;293;9
235;294;9
236;294;10
237;295;9
238;295;10
239;296;9
240;296;10
241;297;9
242;297;10
243;298;9
244;299;5
245;299;9
246;300;9
247;300;10
248;301;5
249;301;9
250;302;7
251;302;9
252;303;5
253;303;8
254;303;9
255;304;7
256;304;9
257;305;9
258;305;10
259;306;10
260;307;3
261;307;10
262;308;10
263;309;10
264;310;3
265;310;10
266;311;6
267;311;10
268;312;10
269;313;10
270;314;5
271;314;10
272;315;11
273;316;6
274;316;10
275;316;11
276;317;3
277;317;11
278;317;4
279;318;11
280;319;5
281;319;11
282;319;12
283;320;7
284;320;11
285;321;2
286;321;3
287;321;11
288;322;6
289;322;12
290;323;12
291;324;12
